                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4855,                 4.2607,                 1.2075,                0.03935,                0.09091,                0.05441,                0.02525,                 1.5385,                 4.5011,                 1.3089,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                  1.515,                  4.387,                 1.3334,                0.03952,                0.09266,                0.05739,                 0.0263,                 1.5267,                 4.4875,                 1.2976,             4.9965e-05,             4.9965e-05,             4.9965e-05
                      3,                 1.4258,                 4.2106,                 1.2001,                0.87908,                0.32955,                0.43393,                0.24045,                 1.4014,                 2.4631,                 1.2029,             8.3199e-05,             8.3199e-05,             8.3199e-05
                      4,                 1.2521,                 1.7296,                 1.1283,                0.86236,                0.91926,                0.94419,                0.62893,                  1.114,                 1.7813,                 1.1016,             0.00011637,             0.00011637,             0.00011637
                      5,                 1.1531,                 1.7285,                 1.0849,                0.93698,                0.94778,                0.97148,                0.65634,                0.99804,                 2.2067,                 1.0487,             0.00014948,             0.00014948,             0.00014948
                      6,                 1.1972,                 1.3815,                  1.146,                 0.9693,                0.90852,                0.99368,                0.69568,                0.95074,                 2.6251,                 1.0432,             0.00018254,             0.00018254,             0.00018254
                      7,                0.99798,                 1.0105,                 1.0384,                0.90496,                0.65902,                0.87016,                0.60901,                0.97265,                 3.0821,                 1.0588,             0.00021553,             0.00021553,             0.00021553
                      8,                0.99445,                0.96778,                 1.0774,                0.99008,                0.98055,                0.98798,                0.68693,                0.93352,                  1.927,                  1.013,             0.00024846,             0.00024846,             0.00024846
                      9,                 0.9319,                0.88346,                 1.0501,                0.83474,                0.86439,                 0.9118,                0.62727,                0.99744,                 1.8057,                   1.06,             0.00028133,             0.00028133,             0.00028133
                     10,                 1.0544,                 1.1521,                 1.1371,                0.81619,                0.85601,                0.89666,                0.61296,                 1.0457,                 1.6139,                 1.0813,             0.00031414,             0.00031414,             0.00031414
                     11,                0.94351,                0.67668,                0.99227,                 0.8619,                  0.945,                0.94917,                0.63759,                  1.003,                 2.1595,                 1.0522,             0.00034689,             0.00034689,             0.00034689
                     12,                0.99431,                0.81748,                 1.0803,                0.82023,                   0.97,                0.91895,                0.63263,                 0.9143,                 2.3246,                 1.0082,             0.00037958,             0.00037958,             0.00037958
                     13,                0.86045,                0.80428,                0.97221,                0.81871,                  0.805,                0.85593,                0.59556,                0.89214,                 2.4529,                 0.9966,             0.00041221,             0.00041221,             0.00041221
                     14,                0.85751,                 0.8414,                0.98345,                0.66801,                   0.98,                0.71562,                0.46636,                0.93907,                 2.9683,                 1.0345,             0.00044477,             0.00044477,             0.00044477
                     15,                0.87794,                0.67193,                0.99433,                0.63518,                  0.985,                0.66116,                0.44222,                0.96032,                 6.0015,                 1.0924,             0.00047728,             0.00047728,             0.00047728
                     16,                0.79696,                0.55626,                0.98829,                 0.6046,                  0.975,                0.61198,                0.37285,                0.91789,                 8.8824,                 1.0746,             0.00050973,             0.00050973,             0.00050973
                     17,                 1.2007,                0.63087,                 1.0908,                0.59326,                   0.95,                0.59414,                0.36414,                0.94404,                 7.2908,                 1.0947,             0.00054211,             0.00054211,             0.00054211
                     18,                 1.0826,                0.71419,                 1.0905,                0.69588,                   0.98,                0.69896,                0.44115,                0.88534,                 3.1051,                 1.0453,             0.00057444,             0.00057444,             0.00057444
                     19,                0.89728,                0.66222,                 1.0279,                0.49777,                  0.995,                0.71743,                0.46423,                0.93907,                  3.294,                 1.1021,              0.0006067,              0.0006067,              0.0006067
                     20,                 0.9076,                0.51632,                 1.0085,                0.51626,                   0.97,                0.68967,                 0.4242,                  1.061,                 3.8135,                 1.1978,              0.0006389,              0.0006389,              0.0006389
                     21,                 1.0258,                 0.6502,                 1.0733,                0.36949,                   0.98,                0.44577,                0.27941,                 1.0101,                 5.1957,                 1.1575,             0.00067105,             0.00067105,             0.00067105
                     22,                 1.0192,                0.57727,                 1.0169,                0.12432,                   0.98,                0.15731,                0.10319,                 1.0183,                 14.331,                 1.1711,             0.00070313,             0.00070313,             0.00070313
                     23,                0.95948,                0.68941,                0.99002,                0.04286,                0.80616,                0.04027,                0.02868,                0.93575,                    inf,                 1.1331,             0.00073515,             0.00073515,             0.00073515
                     24,                0.96282,                 0.6624,                 1.0491,                0.03629,                0.58045,                0.03131,                0.02361,                0.94027,                    inf,                 1.1246,             0.00076711,             0.00076711,             0.00076711
                     25,                 1.1597,                0.68761,                  1.083,                0.07792,                0.40909,                 0.2648,                 0.1917,                 1.1261,                 37.558,                 1.3386,             0.00079902,             0.00079902,             0.00079902
                     26,                 1.1405,                0.83661,                 1.1156,                0.19149,                0.40909,                0.25671,                0.14341,                 1.1073,                 17.377,                 1.2091,             0.00083086,             0.00083086,             0.00083086
                     27,                 1.0942,                0.70342,                 1.0741,                0.05473,                0.70747,                0.05283,                0.03724,                 1.0066,                 27.229,                 1.1845,             0.00086264,             0.00086264,             0.00086264
                     28,                 1.0061,                0.54051,                 1.1189,                0.05473,                0.70747,                0.05283,                0.03724,                 1.0066,                 27.229,                 1.1845,             0.00089435,             0.00089435,             0.00089435
